id,User,Date Created,Number of Likes,Source of Tweet,Tweet,sentiment_1,opinion_1,sentiment_2,opinion_2,inter_annotator_agreement
0,Dark_Red_Hair,7/3/2023 22:16,0,Twitter Web App,"No wonder you are blaming others -- ur a liberal who loves Biden --- ur values are messed up, Lindy Li   Instead of ruining the US, why don't you move to another country???",positive,opinionated,positive,opinionated,1
1,gb4bedfordfalls,7/3/2023 21:59,2,Twitter Web App,"If I could afford to move to another country, I would, so there really is no ""choice.""  Unless you want to send me the money to leave?  Otherwise, good luck with your hopeium addiction and your white privilege. Your life won't be affected in the least when the traitors take over.",positive,opinionated,positive,opinionated,1
2,ElwoodNft,7/3/2023 21:44,1,Twitter for iPhone,I would like to leave Germany &amp; move to another country but I can't afford it...  And then... Where to go?   It's disgusting...   #Photography #Streetphotography #TheViewOfAMedicalWeedUser https://t.co/G96A4OcC6N,positive,opinionated,positive,opinionated,1
3,__JBoogie__,7/3/2023 21:26,0,Twitter for iPhone,I want to move to another country for a year...lowkey ,positive,opinionated,positive,opinionated,1
5,froggy_moko,7/3/2023 19:01,0,Twitter for Android,"i feel like im just waisting my time here, rly want to just move to another country and delete all of my socials",positive,opinionated,positive,opinionated,1
7,_itsslopes,7/3/2023 16:19,0,Twitter for Android,"istfg, this gives me even more motivation to move to another country Portugal's such a fuckin shitty country",positive,opinionated,positive,opinionated,1
8,SCOTTFUCKS,7/3/2023 16:04,0,Twitter for iPhone,"I love when someone tells me ""we live in the best country in the world"" and I'm like ""they don't know I'm a planning to move to another country under the guise of going to school there really it's to see if I wanna live there forever""",positive,opinionated,positive,opinionated,1
10,daiyalnaa,7/3/2023 14:33,5,Twitter for Android,if i were ever to move to another country it would be some place where sun shines and it's 30°C 365 days a year,positive,opinionated,positive,opinionated,1
11,JL_Clouds,7/3/2023 10:38,0,Twitter for iPhone,it's so dope when ppl move to another country,positive,opinionated,positive,opinionated,1
12,mariahniccole,7/3/2023 10:22,35,Twitter for iPhone,"in the mood to fake my disappearance, move to another country and start a new life or get a lobotomy. either or honestly",positive,opinionated,positive,opinionated,1
13,gualasm3ra,7/3/2023 9:46,0,Twitter for iPhone,"The thing I hate abt kdramas is when the victims finish the getting their revenge, they always end up k'ing themselves... like you should be living ur best life or move to another country...",positive,opinionated,positive,opinionated,1
14,Gingeersanders,7/3/2023 9:41,0,Twitter Web App,"Train derailments, chemical explosions, children exposed to toxins, poisons in the water, air, land, food. Don't let polluters utter the words, ""we'll move our company to another country."" Polluting industries love America, as they continue to destroy it. https://t.co/NE7ZrhnENT",neutral,neutral,neutral,neutral,1
15,girlblogxoxo,7/3/2023 8:24,1,Twitter for Android,"if i ever get forced inpatient im not even gonna kill myself cuz i kinda like being alive- im just straight up gonna move to another country, cut everyone off, and start a new identity idec. i will fake my own death to never get put inpatient if i have to.",positive,opinionated,positive,opinionated,1
18,sakabeAJ,7/3/2023 7:47,0,Twitter for iPhone,"Many people will leave Nigeria, move to another country and become resident or citizens, earn the right to vote and to be voted for, but in Nigeria, it's seen as impossible for someone to contest election in a different state, in a state you live and pay ur taxes...",negative,opinionated,negative,opinionated,1
23,BosssKee,7/3/2023 4:47,4,Twitter for iPhone,I'm fina move to another country lbs,positive,opinionated,positive,opinionated,1
24,ForcaBarca190,7/3/2023 4:24,0,Twitter for iPhone,i'd change my name and. move to another country if i missed,positive,opinionated,positive,opinionated,1
25,les_slyy,7/3/2023 3:35,0,Twitter for iPhone,Ok I want to move to another country ,positive,opinionated,positive,opinionated,1
26,ElenasModelsTW,7/3/2023 2:03,0,Hootsuite Inc.,"Which country do Kazakhstanis want to go? In this video, I interviewed many Kazakhstanis who would like to move to another country or who are satisfied with life in Kazakhstan Watch: https://t.co/SnxFzlx4C9  #USA #ElenasModels https://t.co/7I6eu8dWmm",neutral,neutral,neutral,neutral,1
27,therealdnz,7/3/2023 1:56,1,Tweet Hunter Pro,"growing up in the same city as your friends will always be a good thing, but if you move to another country you can easily find out who ya real potnas .",negative,opinionated,negative,opinionated,1
29,kaiunique_,6/3/2023 23:18,0,Twitter for iPhone,I wonder how hard it would be to convince a significant other to move to another country  I feel like I'd start with another state first then drop the bomb like let's move to Italy babe ,positive,opinionated,positive,opinionated,1
30,devinefiminine,6/3/2023 22:54,0,Twitter for iPhone,"Im gonna be a Cabin crew and im gonna move to another country 5h+ away from home, my flight booking had issues, I was the only one with uniform delayed, I'm going to do flight connections of 20h+ in total, my new house has no amenities I have to buy everything, I broke my nails",negative,opinionated,negative,opinionated,1
32,Ingelosii_,6/3/2023 18:30,2,Twitter for Android,Change my name and move to another country,positive,opinionated,positive,opinionated,1
34,peenicole_23,6/3/2023 10:45,0,Twitter for iPhone,I wanna move to another country.,positive,opinionated,positive,opinionated,1
35,RyonBixark,6/3/2023 10:35,3,Twitter for iPhone,You have to move to another country and start over https://t.co/v4tlPK2idN,positive,opinionated,positive,opinionated,1
36,wmcd1985,6/3/2023 10:30,3,Twitter for Android,"Watching #90dayfiancetheotherway, and I'm just going to say this. When I find ""the one"" and get married, I would never do so just to move to another country. I have family, friends, support systems where I am in the States, and I just couldn't do it, if there's a language barrier",negative,opinionated,negative,opinionated,1
37,_aimanistic,6/3/2023 9:28,1,Twitter for Android,I wanna move to another country and start a new life,positive,opinionated,positive,opinionated,1
38,YvrSandy,6/3/2023 8:06,0,Twitter for Android,"I'd take MAGA=Make America Great Again every day over the Green New Deal, Racist Democrat Globalists. Why don't they move to another country already like what they want. Instead of bringing there to here. They're making America a shit hole place all these Illegals are from.",positive,opinionated,positive,opinionated,1
39,JordanTrevon24,6/3/2023 7:54,2,Twitter for iPhone,I'm now really beyond wanting to live in the United States now! I really do want to move 2 another country at this point and start new with new ppl! I'm alone an to myself with no fam or friends everyday so it wouldn't be a difficult environment change at all for me! One day I am,positive,opinionated,positive,opinionated,1
40,MishiaClay,6/3/2023 7:30,1,Twitter for iPhone,"He said ""friend why tf you move away from a country ass town to go to another country ass town? You might as well do it big!"" RT tho! Definitely been thinking about moving to atl/Decatur when my lease up. My business gone blow fasho!",positive,opinionated,positive,opinionated,1
42,JamesBabson2,6/3/2023 6:26,0,Twitter for iPhone,Well I mispronounced a TSA officers name and asked for money back on a purchase I made and they detained me. Officer Garit from DC was super rude. I'll just move my company to another country and pay taxes there. I don't need to be treated as this way over $60,positive,opinionated,positive,opinionated,1
44,wintertatamic,6/3/2023 4:40,3,Twitter Web App,Living 320km away from your family is not always easy... And that's why I think I could never actually move to another country even though I always kinda wished to do so one day ,negative,opinionated,negative,opinionated,1
45,loveeeeeesonggg,6/3/2023 3:37,0,Twitter for Android,how do ppl just move to another country HOW??? i can't grasp it how the hell did my family do that??? they just moved??? how do ppl just move to a different country not knowing ANYTHING?? like huh,negative,opinionated,negative,opinionated,1
46,slimeball223,6/3/2023 3:26,1,Twitter for iPhone,I slick want to move to another country,positive,opinionated,positive,opinionated,1
47,Vizion327,6/3/2023 2:44,0,Twitter for iPhone,"Between baby mama drama and at home drama, it's about to be fuck it all and move to another country with my kids and loose all contact with everyone rs",positive,opinionated,positive,opinionated,1
48,_arielmolina_,6/3/2023 1:47,1,Twitter for iPhone,"Sooner or later ima pack up all my shit and move to another country, I'll do that in this lifetime fs",positive,opinionated,positive,opinionated,1
49,mIm_excaIibur,6/3/2023 1:45,0,Twitter Web App,"The fact some of my oomfs can come out as trans and/or queer convinces me I should move out, maybe to another country. But unfortunately, I can't rn :')",positive,opinionated,positive,opinionated,1
50,ARCHERLUVRR,6/3/2023 1:30,0,Twitter for Android,i just wanna  move to another country and start from scratch,positive,opinionated,positive,opinionated,1
51,frickinjess,6/3/2023 1:00,1,Twitter for iPhone,I want to sell everything I own and move to like a small village in another country and never use social media or watch the news again and just be peaceful,positive,opinionated,positive,opinionated,1
52,Iambinoy86,5/3/2023 23:59,0,Twitter for Android,"Dubai absolutely pampers you with the best of everything and I literally mean everything. Forget about moving to another country, you will think twice to even move to another Emirates.  #Dubai #quality",negative,opinionated,negative,opinionated,1
53,rsciencejournal,5/3/2023 23:46,1,Beauty_of_Science,"1/ Researchers often move to another country to advance their careers, but this opportunity isn't afforded to men and women equally. Female researchers are less internationally mobile than their male counterparts, an analysis https://t.co/G2NCjB4dAR",neutral,neutral,neutral,neutral,1
54,DocHoll18516751,5/3/2023 21:07,1,Twitter Web App,"Here's a concept, if you speak Russian and you want to be Russian but live in another country, pack up your shit and move to Russia. The USSR is dead; go before you are sent. Russian minority shuns Estonia vote over Ukraine support https://t.co/TRL28cK6Tu",positive,opinionated,positive,opinionated,1
55,Kat8592,5/3/2023 18:36,0,Twitter for Android,Time to move to another country,positive,opinionated,positive,opinionated,1
57,realsofiaa,5/3/2023 16:23,1,Twitter for iPhone,I'm probably going to have to move to another country to find the right ppl,positive,opinionated,positive,opinionated,1
58,ewo_media,5/3/2023 15:40,0,Twitter Web App,"Remind me why we should be taking lectures from a Scot who hates Scots governing Scots, and who is quite happy to move to another country so that he can bank more money? https://t.co/jqg4gvEoxu",neutral,neutral,neutral,neutral,1
