,text,polarity,subjectivity
0,move.v.02 another.s.01 state.n.04 begin.v.03 raw.s.12 life.n.03,0,-1
1,want.v.05 trump.n.02 ampere.n.02 hello.n.01 kin.n.01 throng.v.01 unmarried.a.01 hold.n.07 union.s.01 prison.n.02 sentence.v.01 never.r.02 thinker.n.01 move.v.07 another.s.01 state.n.04,0,-1
2,think.v.09 move.v.14 another.s.01 country.n.04 twenty.n.01 one.s.05 challenging.s.03 even.r.03 reward.v.03 experience.n.02 life.n.11,0,-1
3,actually.r.02 move.v.07 another.s.01 state.n.04 one.s.05 bar.n.07 windowpane.n.01,0,-1
4,trump.n.02 float.v.04 estimate.n.01 travel.v.01 another.s.01 state.n.04 democrat.n.02 travel_by.v.01 billionaire.n.01 tax.n.01 help.v.06 trump.v.03 pack.v.01 hello.n.01 udder.n.01,0,-1
5,literally.r.02 even.r.03 shop.v.03 entirely.r.02 think.v.03 move.v.07 another.s.01 state.n.04 study.v.06,1,1
6,spill.n.03 move.v.07 another.s.01 state.n.04 want.v.02,0,-1
7,even.r.03 believe.v.03 travel.v.01 another.s.01 state.n.04 leave.v.12 supporter.n.01 sleep_together.v.01 one.n.02 buttocks.n.01 bear.v.06 part.n.09 life.n.11 new.a.01 chapter.n.02 journey.n.01 venture.v.01 life.n.11 surely.r.01 rugged.s.04 mustiness.n.01 occur.v.02 end.n.05 finally.r.01,-1,1
8,melissa.n.01 owner.n.01 tell.v.07 uranium.n.01 start.v.10 occupation.n.01 work.v.09 nine.n.01 five.n.01 occupation.n.01 summation.n.04 move.v.02 another.s.01 state.n.04 visualize.v.01 run.v.11 occupation.n.01 canada.n.01 artist.n.01 entrepreneur.n.01,0,-1
9,sometimes.r.01 fantasy.v.01 move.v.07 another.s.01 state.n.04 buy.v.05 skin_care.n.01 cheap.a.01 price.n.07,0,-1
10,surprise.v.02 state.n.04 visit.v.03 uranium.n.01 ethiopian.a.01 topic.n.02 move.v.07 hash_out.v.01 another.s.01 state.n.04 go.v.03 round.r.01 like.n.01 sun.n.04 year.n.03 long.r.01 bring.v.02 ethiopia.n.01 hear.v.04,-1,1
11,honestly.r.02 throng.v.01 shit.n.04 move.v.07 another.s.01 state.n.04 two.s.01 year.n.03 claim.v.05,-1,1
12,travel.v.01 work.v.09 germany.n.01 year.n.03 travel.v.01 extend.v.04 sixty-six.s.01 wage.n.01 rise.n.02 make.v.16 economic.s.04 migrant.n.01 necessitate.v.01 stop.v.01 use.v.01 terminus.n.03 exile.n.01 transfigure.v.01 act.v.01 another.s.01 country.n.04 work.n.05 good.a.01 life_sentence.n.01,1,1
13,ever.r.03 one.s.05 dream.n.05 go.v.03 another.s.01 state.n.04 whitethorn.n.01 well.r.07 another.s.01 satellite.n.02 look.v.07 away.r.01 far.r.03 second.s.01 baggage.n.01 go.v.03 pass.v.05 plate.n.04 food.n.03 matter.n.01 even.r.03 move.v.07 about.r.04 catch.v.07 find_oneself.v.01 waiter.n.02 waiter.n.02 catch.v.07 fire.v.06 yea.r.01 one.s.05,-1,1
14,startle.v.02 year.n.03 get.v.01 prosecute.v.03 end.v.01 year.n.03 marry.v.02 act.v.01 another.s.01 state.n.04 pot.n.09 wait.n.02 happen.v.04 future.s.03 veracious.s.02,0,-1
15,constantly.r.02 think.v.09 act.v.01 another.s.01 country.n.04 startle.v.02 support.n.06 life.n.03 want.v.05 sodium.n.01 happen.v.01 ill.s.05 go.v.03 war_cry.n.01,-1,1
16,chaos.n.04 move.v.07 another.s.01 state.n.04 survey.n.01 forget.v.03 get.v.14 matrix.n.06 united_kingdom.n.01 scholar.n.01 fifteen.s.01 sarin.n.01 data.n.01 month.n.02 unlimited.a.01 entrance.n.03 margin_call.n.01 unlimited.a.01 local.a.03 margin_call.n.01 unlimited.a.01 local.a.03 samarium.n.01 three.s.01 month.n.02 validity.n.02 one.s.01 month.n.02 free.a.01 scholar.n.01 visa.n.01 mandate.n.02,1,1
17,chaos.n.04 move.v.07 another.s.01 state.n.04 survey.n.01 forget.v.03 get.v.14 matrix.n.06 united_kingdom.n.01 scholar.n.01 fifteen.s.01 sarin.n.01 data.n.01 month.n.02 unlimited.a.01 entrance.n.03 margin_call.n.01 unlimited.a.01 local.a.03 margin_call.n.01 unlimited.a.01 local.a.03 samarium.n.01 three.s.01 month.n.02 validity.n.02 one.s.01 month.n.02 free.a.01 scholar.n.01 visa.n.01 mandate.n.02,1,1
18,hello.n.01 know.v.04 ph.n.01 artist.n.01 workshop.n.01 crochet.n.01 knit.n.03 stuff.n.07 possibly.r.01 total.v.02 customize.v.02 contact.n.08 want.v.05 perplex.v.01 sister.n.01 move.v.07 another.s.01 state.n.04 soon.r.01 rather.r.02 agile.s.01,0,-1
19,invest.v.04 look.v.02 alike.a.01 travel.v.01 another.s.01 country.n.04 opportunity.n.01 life_sentence.n.01 prison_term.n.01,0,-1
20,think.v.02 move.v.07 another.s.01 state.n.04 become.v.04 majority.n.03 hindu.n.02 love.v.02 religious.s.04 freedom.n.01 world.n.08 hound.v.01 group.n.01 christian.a.02 muslim.a.01 syndicate.n.01 hinduism.n.02 india.n.01 military_policeman.n.01,1,1
21,think.v.13 love.v.02 move.v.07 another.s.01 state.n.04,1,1
22,great.s.03 heed.v.01 much.a.01 utilitarian.s.01 advice.n.01 people.n.01 think.v.01 move.v.07 another.s.01 state.n.04,1,1
23,think.v.02 get.v.03 thing.n.01 ready.a.01 copper.n.01 move.v.07 another.s.01 state.n.04,0,-1
24,find.v.05 like.v.04 ready.s.04 fall.v.15 love.n.04 end.v.02 travel.v.01 another.s.01 area.n.01 rather.r.02 love.v.02 ur.n.01 receptive.a.02 ready.s.04 risk.v.01 ready.s.04 digital_audiotape.n.01 intravenous_feeding.n.01 decide.v.02,1,1
25,move.v.07 another.s.01 state.n.04,0,-1
26,think.v.02 move.v.07 another.s.01 state.n.04 specifically.r.01 benefit.n.03 social.s.05 policy.n.01 complain.v.02 right.n.04,-1,1
27,trey.n.02 month.n.02 exit.v.01 move.v.07 another.s.01 state.n.04,0,-1
28,attend.v.02 question.n.02 go.v.02 another.s.01 state.n.04 batch.n.02 mean.n.01 however.r.04 sake.n.01 walk.v.10 topic.n.02 dominance.n.02 possibly.r.01 veteran.n.01 ampere.n.02 hub.n.02 stay.v.04 fight.n.05 state.n.04 ampere.n.02 ridicule.v.01 topic.n.02,0,-1
29,guy.n.03 might.n.01 exit.v.01 chirrup.n.01 workweek.n.01 move.v.07 another.s.01 state.n.04,1,1
30,move.v.07 abroad.r.01 exile.n.01 another.s.01 state.n.04 amazing.s.02 opportunity.n.01 even.r.03 additionally.r.01 overpowering.s.01 challenge.n.05 exile.n.01 expatriate.v.02 exile.n.01,1,1
31,bad.s.13 people.n.01 like.n.02 vitamin_e.n.01 girlfriend.n.02 kitty.n.04 get.v.03 move.v.07 another.s.01 state.n.04,0,-1
32,however.r.01 think.v.01 person.n.01 glasgow.n.01 order.v.01 travel.v.01 family.n.01 back.r.03 family.n.01 bc.r.01 travel.v.01 wish.v.02 think.v.02 order.v.01 person.n.01 another.s.01 state.n.04 type.n.06 situation.n.01 racist.s.02 wish.v.02 think_of.v.04 scots.a.01 people.n.03 come.v.11 end.n.05,0,-1
