text povided as input,polarity,subjectivity
this is it for me y’all. Im moving to another country and starting a new life,NEUTRAL,NEUTRAL
"I want Trump &amp; his family, packing their single hold all for federal prison after sentencing, never mind moving to another country.",NEUTRAL,NEUTRAL
"If you think of moving to another country in your twenties, just do it! It will be one of the most challenging yet rewarding experiences of your life.",NEUTRAL,NEUTRAL
"Actually, he will be moving to another Country! One with bars and no windows!",NEUTRAL,NEUTRAL
Trump floats the idea of “moving to another country” if Democrats pass a “billionaires tax.” RETWEET IF YOU WOULD HELP TRUMP PACK HIS BAGS!,NEUTRAL,NEUTRAL
I literally can’t even shop alone and here I am thinking about moving to another country for studying,POSITIVE,OPINIONATED
no if wilbur releases merch im moving to another country i need this,NEUTRAL,NEUTRAL
"Still can't believe that I'm moving into another country, leaving all my friends and loved ones behind. But I have to accept this, since it's part of life and a new chapter of my journey to embark on. Life sure is tough, but everything must come to an end eventually. :(",NEGATIVE,OPINIONATED
"Melissa Mora, owner of Mora Roja, told us everything about starting her own business and working a 9-5 job PLUS moving to another country and figuring out how to run a business in #Canada https://t.co/njtHhkD8sR #Artist #Entrepreneur https://t.co/3kxdyiKGBp",NEUTRAL,NEUTRAL
ngl sometimes i fantasize about moving to another country just so i can buy skincare for a cheaper price,NEUTRAL,NEUTRAL
I'm surprised A country called the US this is https://t.co/nQbs5TJMwc is about the Ethiopian issue that you are moving and discuss to another country&nbsp;.Why not go around like the sun all year long?You will not bring anything against Ethiopia. We just don't hear.#NOMore,NEGATIVE,OPINIONATED
I’m honestly packing up my shit and moving to another country in 2 years I’m claiming it,NEGATIVE,OPINIONATED
When I went to work in Germany for a year I went because I was offered a 66% pay rise to do so. This made me an economic migrant. We need to stop using the term “Expat” to glorify moving to another country for work or a better life.,POSITIVE,OPINIONATED
Ever have one of those dreams Going to another country and It may as well be another planet Look away far a second and All your luggage is gone Handed a plate of food and Things are still moving around Get up to find a waiter and The waiter gets fired for it Yea. One of those,NEGATIVE,OPINIONATED
i started this year getting engaged. ending this year married and moving to another country. 2021 was hella dope but wait until what happens next. right @mrsqueenbrat ?,NEUTRAL,NEUTRAL
constantly thinking about moving to another country and start living my life how i want but thats not gonna happen so ill just go cry,NEGATIVE,OPINIONATED
Moving to another country will be one of the most daunting but rewarding experiences you will have if you are up for it,POSITIVE,OPINIONATED
I don't tweet much here but I just wanna say I'm moving to another country tomorrow and I'm really excited,POSITIVE,OPINIONATED
Hello frens! Do you know any ph artist shops with onhand crochet/knit stuff (and and maybe add a customized touch to it)? I want to get smth for my sister who's moving to another country very very soon so it has to be kinda quick huhu,NEUTRAL,NEUTRAL
"Investing in you can look like, moving to another country for opportunities of a life time.",NEUTRAL,NEUTRAL
Imagine moving to another country and these become a majority! Do Hindus enjoy religious freedom ALL over the world or are they hounded by groups of Christian or Muslim mobs? #Hinduterror #religiousfreedom #antimuslim #antiChristian #Hinduism #India #MP #lynchmobs #stonepelting,POSITIVE,OPINIONATED
I think I’d enjoy moving to another country,POSITIVE,OPINIONATED
This was a great listen! So much useful advice for people considering moving to another country.,POSITIVE,OPINIONATED
I’m supposed to be getting my things ready cus I’m moving to another country but ATEEZ &gt;&gt;&gt;,NEUTRAL,NEUTRAL
I just feel like I'm ready to fall in love and just end up moving to another country you kno that kinda love where ur just open and ready to risk it all yhhh I'm ready for some of dat iv decided,POSITIVE,OPINIONATED
Moving to another country.,NEUTRAL,NEUTRAL
"can't imagine moving to another country specifically for the benefits of its social policies, and then complaining about how I don't have any rights couldn't be me",NEGATIVE,OPINIONATED
only about three months left before I'm finaly moving to another country.,NEUTRAL,NEUTRAL
"I see questions about moving to another country, a lot. We have the means; we could. However, I have no interest in walking, no matter who's in control here. Maybe it's the veteran in me &amp; the hubs, but we're staying in this fight - for the country &amp; you guys no matter what.",NEUTRAL,NEUTRAL
guys i might leave twitter for a week again cuz i'm moving to another country. So until then Byee :),POSITIVE,OPINIONATED
"Moving abroad as an expat to another country can be an awesome opportunity, yet additionally an overwhelming challenge. #expat #expatriate #expatlife #globalnomad #digitalnomad #expats https://t.co/WBxwfOKq4l",POSITIVE,OPINIONATED
down bad people be like: bro this e-girl pussy got me moving to another country,NEUTRAL,NEUTRAL
Still can’t believe someone from Glasgow told shan to go home back home bc we wasn’t moving like imagine if that was said to someone from another country type situation that’s horrendously racist but like???? Does that mean Scottish people can’t come our ends now,NEUTRAL,NEUTRAL
Swear I’m end up moving to another country and starting over cause this shit right here. Yeah protection is great but y’all can’t tell this Cant go to something for better like supporting homeless and needy families. Just makes you think about what your country cares about…,POSITIVE,OPINIONATED
